line_code,line_name,route_id,service_day,period,start_time,end_time,min_headway_min,trains_per_hour,capacity_per_train,hourly_capacity_per_direction,note
R,淡水信義線,R-1,平日,尖峰,07:00,09:00,6,10,1860,18600,PeakFlag=1
R,淡水信義線,R-1,平日,離峰,09:00,17:00,8,7.5,1860,13950,PeakFlag=0
R,淡水信義線,R-1,平日,深夜,23:00,00:00,12,5,1860,9300,PeakFlag=0
R,淡水信義線,R-1,假日,全日,06:00,23:00,8,7.5,1860,13950,PeakFlag=0
BL,板南線,BL-1,平日,尖峰,07:00,09:00,6,10,1860,18600,PeakFlag=1
BL,板南線,BL-1,平日,離峰,09:00,17:00,8,7.5,1860,13950,PeakFlag=0
BL,板南線,BL-1,平日,深夜,23:00,00:00,8,7.5,1860,13950,PeakFlag=0
BL,板南線,BL-1,假日,全日,06:00,23:00,8,7.5,1860,13950,PeakFlag=0
G,松山新店線,G-1,平日,尖峰,07:00,09:00,4,15,1764,26460,PeakFlag=1
G,松山新店線,G-1,平日,離峰,09:00,17:00,6,10,1764,17640,PeakFlag=0
G,松山新店線,G-1,平日,深夜,23:00,00:00,12,5,1764,8820,PeakFlag=0
G,松山新店線,G-1,假日,全日,09:00,23:00,6,10,1764,17640,PeakFlag=0
O,中和新蘆線,O-1,平日,尖峰,07:00,09:00,6,10,1764,17640,PeakFlag=1
O,中和新蘆線,O-1,平日,離峰,09:00,17:00,9,6.67,1764,11760,PeakFlag=0
O,中和新蘆線,O-1,平日,深夜,23:00,00:00,12,5,1764,8820,PeakFlag=0
O,中和新蘆線,O-1,假日,全日,06:00,23:00,9,6.67,1764,11760,PeakFlag=0
BR,文湖線,BR-1,平日,尖峰,07:00,09:00,2,30,260,7800,PeakFlag=1
BR,文湖線,BR-1,平日,離峰,09:00,17:00,4,15,260,3900,PeakFlag=0
BR,文湖線,BR-1,平日,深夜,23:00,00:00,12,5,260,1300,PeakFlag=0
BR,文湖線,BR-1,假日,全日,06:00,23:00,4,15,260,3900,PeakFlag=0
Y,環狀線,Y-1,平日,尖峰,07:00,09:00,4,15,480,7200,PeakFlag=1
Y,環狀線,Y-1,平日,離峰,09:00,17:00,5,12,480,5760,PeakFlag=0
Y,環狀線,Y-1,平日,深夜,23:00,00:00,12,5,480,2400,PeakFlag=0
Y,環狀線,Y-1,假日,全日,06:00,23:00,5,12,480,5760,PeakFlag=0
