line_code,route_id,service_day,peak_flag,start_time,end_time,min_headway_min,max_headway_min
R,R-1,平日,0,06:00,07:00,8,10
R,R-1,平日,1,07:00,09:00,6,6
R,R-1,平日,0,09:00,17:00,8,10
R,R-1,平日,1,17:00,19:30,6,6
R,R-1,平日,0,19:30,23:00,8,10
R,R-1,平日,0,23:00,00:00,12,12
R,R-1,假日,0,06:00,23:00,8,10
R,R-1,假日,0,23:00,00:00,12,12
R,R-2,平日,0,06:00,07:00,8,10
R,R-2,平日,1,07:00,09:00,6,6
R,R-2,平日,0,09:00,17:00,8,10
R,R-2,平日,1,17:00,19:30,6,6
R,R-2,平日,0,19:30,23:00,8,10
R,R-2,假日,0,08:00,23:00,8,10
R,R-3,平日,0,06:00,06:30,12,15
R,R-3,平日,1,06:30,09:00,7,8
R,R-3,平日,0,09:00,17:00,10,10
R,R-3,平日,1,17:00,19:30,7,8
R,R-3,平日,0,19:30,23:00,8,10
R,R-3,平日,0,23:00,00:00,12,15
R,R-3,假日,0,06:00,23:00,10,12
R,R-3,假日,0,23:00,00:00,12,15
BL,BL-1,平日,0,06:00,07:00,8,10
BL,BL-1,平日,1,07:00,09:00,6,6
BL,BL-1,平日,0,09:00,17:00,8,10
BL,BL-1,平日,1,17:00,19:30,6,6
BL,BL-1,平日,0,19:30,23:00,8,10
BL,BL-1,平日,0,23:00,00:00,8,12
BL,BL-1,假日,0,06:00,23:00,8,10
BL,BL-1,假日,0,23:00,00:00,8,12
BL,BL-2,平日,0,06:00,07:00,8,10
BL,BL-2,平日,1,07:00,09:00,6,6
BL,BL-2,平日,0,09:00,17:00,8,10
BL,BL-2,平日,1,17:00,19:30,6,6
BL,BL-2,平日,0,19:30,23:00,8,10
BL,BL-2,假日,0,08:00,23:00,8,10
BR,BR-1,平日,0,06:00,07:00,4,10
BR,BR-1,平日,1,07:00,09:00,2,4
BR,BR-1,平日,0,09:00,17:00,4,10
BR,BR-1,平日,1,17:00,19:30,2,4
BR,BR-1,平日,0,19:30,23:00,4,10
BR,BR-1,平日,0,23:00,00:00,12,12
BR,BR-1,假日,0,06:00,23:00,4,10
BR,BR-1,假日,0,23:00,00:00,12,12
G,G-1,平日,0,06:00,07:00,6,8
G,G-1,平日,1,07:00,09:00,4,6
G,G-1,平日,0,09:00,17:00,6,8
G,G-1,平日,1,17:00,19:30,4,6
G,G-1,平日,0,19:30,23:00,6,8
G,G-1,平日,0,23:00,00:00,12,12
G,G-1,假日,0,06:00,09:00,8,10
G,G-1,假日,0,09:00,23:00,6,8
G,G-1,假日,0,23:00,00:00,12,12
G,G-2,平日,1,07:00,09:00,4,6
G,G-2,平日,1,17:00,19:30,4,6
G,G-3,平日,0,06:00,00:00,12,20
G,G-3,假日,0,06:00,00:00,12,20
O,O-1,平日,0,06:00,07:00,9,10
O,O-1,平日,1,07:00,09:00,6,6
O,O-1,平日,0,09:00,17:00,9,10
O,O-1,平日,1,17:00,19:30,6,6
O,O-1,平日,0,19:30,23:00,9,10
O,O-1,平日,0,23:00,00:00,12,12
O,O-1,假日,0,06:00,23:00,9,10
O,O-1,假日,0,23:00,00:00,12,12
O,O-2,平日,0,06:00,07:00,9,10
O,O-2,平日,1,07:00,09:00,6,6
O,O-2,平日,0,09:00,17:00,9,10
O,O-2,平日,1,17:00,19:30,6,6
O,O-2,平日,0,19:30,23:00,9,10
O,O-2,平日,0,23:00,00:00,12,12
O,O-2,假日,0,06:00,23:00,9,10
O,O-2,假日,0,23:00,00:00,12,12
Y,Y-1,平日,0,06:00,07:00,5,10
Y,Y-1,平日,1,07:00,09:00,4,7
Y,Y-1,平日,0,09:00,17:00,5,10
Y,Y-1,平日,1,17:00,19:30,4,7
Y,Y-1,平日,0,19:30,23:00,5,10
Y,Y-1,平日,0,23:00,00:00,12,15
Y,Y-1,假日,0,06:00,23:00,5,10
Y,Y-1,假日,0,23:00,00:00,12,15
