起站,迄站,乘車時間,轉運站
BR13,BR12,3,""
BR13,BR11,4,""
BR13,G16,4,""
BR13,BR10,6,""
BR13,BL15,6,""
BR13,BR09,8,""
BR13,R05,8,""
BR13,BR08,10,""
BR13,BR07,12,""
BR13,BR06,14,""
BR13,BR05,16,""
BR13,BR04,19,""
BR13,BR03,21,""
BR13,BR02,22,""
BR13,BR01,23,""
BR13,BR14,3,""
BR13,BR15,5,""
BR13,BR16,8,""
BR13,BR17,9,""
BR13,BR18,11,""
BR13,BR19,13,""
BR13,BR20,14,""
BR13,BR21,17,""
BR13,BR22,18,""
BR13,BR23,20,""
BR13,BR24,22,""
BR13,BL23,22,""
BR13,G03A,42,"G16"
BR13,G01,39,"G16"
BR13,G02,37,"G16"
BR13,G03,35,"G16"
BR13,G04,34,"G16"
BR13,Y07,34,"G16"
BR13,G05,32,"G16"
BR13,G06,30,"G16"
BR13,G07,27,"G16"
BR13,G08,25,"G16"
BR13,G09,23,"G16"
BR13,O05,23,"G16"
BR13,R08,20,"R05"
BR13,G10,20,"R05"
BR13,G11,20,"G16"
BR13,O04,25,"BL15,O07"
BR13,O03,27,"BL15,O07"
BR13,O02,29,"BL15,O07"
BR13,Y11,29,"BL15,O07"
BR13,O01,31,"BL15,O07"
BR13,R09,22,"R05"
BR13,R10,16,"BL15"
BR13,BL12,16,"BL15"
BR13,R11,13,"G16"
BR13,G14,13,"G16"
BR13,R12,17,"G16,R11"
BR13,R13,18,"G16,O08"
BR13,O11,18,"G16,O08"
BR13,R14,21,"G16,R11"
BR13,R15,23,"G16,R11"
BR13,R16,25,"G16,R11"
BR13,R17,27,"G16,R11"
BR13,R18,29,"G16,R11"
BR13,R19,30,"G16,R11"
BR13,R20,32,"G16,R11"
BR13,R21,34,"G16,R11"
BR13,R22,36,"G16,R11"
BR13,R22A,42,"G16,R11"
BR13,R23,39,"G16,R11"
BR13,R24,41,"G16,R11"
BR13,R25,43,"G16,R11"
BR13,R26,46,"G16,R11"
BR13,R27,48,"G16,R11"
BR13,R28,52,"G16,R11"
BR13,BL01,43,"BL15"
BR13,BL02,40,"BL15"
BR13,BL03,38,"BL15"
BR13,BL04,36,"BL15"
BR13,BL05,33,"BL15"
BR13,BL06,31,"BL15"
BR13,BL07,29,"BL15"
BR13,BL08,27,"BL15"
BR13,BL09,25,"BL15"
BR13,BL10,21,"BL15"
BR13,G12,18,"G16"
BR13,BL11,18,"G16"
BR13,BL13,15,"BL15"
BR13,O07,13,"BL15"
BR13,BL14,13,"BL15"
BR13,BL16,12,"BL15"
BR13,BL17,14,"BL15"
BR13,BL18,16,"BL15"
BR13,BL19,18,"BL15"
BR13,BL20,19,"BL15"
BR13,BL21,22,"BL15"
BR13,BL22,24,"BL15"
BR13,R02,19,"R05"
BR13,R03,17,"R05"
BR13,R04,15,"R05"
BR13,R06,14,"R05"
BR13,G13,16,"G16"
BR13,G17,11,"G16"
BR13,G18,13,"G16"
BR13,G19,16,"G16"
BR13,O19,36,"G16,O08"
BR13,O18,33,"G16,O08"
BR13,O17,31,"G16,O08"
BR13,Y18,31,"G16,O08"
BR13,O16,29,"G16,O08"
BR13,O15,26,"G16,O08"
BR13,O14,24,"G16,O08"
BR13,O13,22,"G16,O08"
BR13,O12,20,"G16,O08"
BR13,O10,16,"G16,O08"
BR13,O09,14,"G16,O08"
BR13,G15,11,"G16"
BR13,O08,11,"G16"
BR13,R07,16,"R05"
BR13,O06,16,"R05"
BR13,O54,31,"G16,O08"
BR13,O53,29,"G16,O08"
BR13,O52,27,"G16,O08"
BR13,O51,25,"G16,O08"
BR13,O50,23,"G16,O08"
BR13,O21,41,"G16,O08"
BR13,O20,38,"G16,O08"
BR13,Y08,39,"G16,Y07"
BR13,Y09,41,"G16,Y07"
BR13,Y10,36,"BL15,O07,Y11"
BR13,Y12,38,"BL15,O07,Y11"
BR13,Y13,40,"BL15,O07,Y11"
BR13,Y14,45,"BL15,Y17"
BR13,Y15,42,"BL15,Y17"
BR13,Y16,40,"BL15"
BR13,Y17,36,"BL15"
BR13,Y19,40,"BL15,Y17"
BR13,Y20,43,"BL15,Y17"
BR12,BR11,2,""
BR12,G16,2,""
BR12,BR10,4,""
BR12,BL15,4,""
BR12,BR09,5,""
BR12,R05,5,""
BR12,BR08,7,""
BR12,BR07,9,""
BR12,BR06,11,""
BR12,BR05,14,""
BR12,BR04,16,""
BR12,BR03,18,""
BR12,BR02,19,""
BR12,BR01,21,""
BR12,BR14,6,""
BR12,BR15,8,""
BR12,BR16,11,""
BR12,BR17,12,""
BR12,BR18,14,""
BR12,BR19,15,""
BR12,BR20,17,""
BR12,BR21,19,""
BR12,BR22,21,""
BR12,BR23,23,""
BR12,BR24,25,""
BR12,BL23,25,""
BR12,G03A,39,"G16"
BR12,G01,37,"G16"
BR12,G02,34,"G16"
BR12,G03,33,"G16"
BR12,G04,31,"G16"
BR12,Y07,31,"G16"
BR12,G05,29,"G16"
BR12,G06,27,"G16"
BR12,G07,24,"G16"
BR12,G08,23,"G16"
BR12,G09,21,"G16"
BR12,O05,21,"G16"
BR12,R08,17,"R05"
BR12,G10,17,"R05"
BR12,G11,17,"G16"
BR12,O04,22,"BL15,O07"
BR12,O03,24,"BL15,O07"
BR12,O02,26,"BL15,O07"
BR12,Y11,26,"BL15,O07"
BR12,O01,28,"BL15,O07"
BR12,R09,19,"R05"
BR12,R10,14,"BL15"
BR12,BL12,14,"BL15"
BR12,R11,10,"G16"
BR12,G14,10,"G16"
BR12,R12,15,"G16,R11"
BR12,R13,15,"G16,O08"
BR12,O11,15,"G16,O08"
BR12,R14,18,"G16,R11"
BR12,R15,20,"G16,R11"
BR12,R16,22,"G16,R11"
BR12,R17,24,"G16,R11"
BR12,R18,26,"G16,R11"
BR12,R19,28,"G16,R11"
BR12,R20,30,"G16,R11"
BR12,R21,31,"G16,R11"
BR12,R22,33,"G16,R11"
BR12,R22A,39,"G16,R11"
BR12,R23,36,"G16,R11"
BR12,R24,38,"G16,R11"
BR12,R25,40,"G16,R11"
BR12,R26,43,"G16,R11"
BR12,R27,46,"G16,R11"
BR12,R28,49,"G16,R11"
BR12,BL01,41,"BL15"
BR12,BL02,37,"BL15"
BR12,BL03,35,"BL15"
BR12,BL04,33,"BL15"
BR12,BL05,30,"BL15"
BR12,BL06,28,"BL15"
BR12,BL07,26,"BL15"
BR12,BL08,24,"BL15"
BR12,BL09,22,"BL15"
BR12,BL10,19,"BL15"
BR12,G12,15,"G16"
BR12,BL11,15,"G16"
BR12,BL13,12,"BL15"
BR12,O07,10,"BL15"
BR12,BL14,10,"BL15"
BR12,BL16,10,"BL15"
BR12,BL17,11,"BL15"
BR12,BL18,13,"BL15"
BR12,BL19,15,"BL15"
BR12,BL20,17,"BL15"
BR12,BL21,19,"BL15"
BR12,BL22,21,"BL15"
BR12,R02,16,"R05"
BR12,R03,14,"R05"
BR12,R04,12,"R05"
BR12,R06,12,"R05"
BR12,G13,13,"G16"
BR12,G17,8,"G16"
BR12,G18,10,"G16"
BR12,G19,13,"G16"
BR12,O19,33,"G16,O08"
BR12,O18,30,"G16,O08"
BR12,O17,28,"G16,O08"
BR12,Y18,28,"G16,O08"
BR12,O16,26,"G16,O08"
BR12,O15,23,"G16,O08"
BR12,O14,22,"G16,O08"
BR12,O13,20,"G16,O08"
BR12,O12,17,"G16,O08"
BR12,O10,14,"G16,O08"
BR12,O09,11,"G16,O08"
BR12,G15,8,"G16"
BR12,O08,8,"G16"
BR12,R07,13,"R05"
BR12,O06,13,"R05"
BR12,O54,28,"G16,O08"
BR12,O53,26,"G16,O08"
BR12,O52,24,"G16,O08"
BR12,O51,22,"G16,O08"
BR12,O50,20,"G16,O08"
BR12,O21,39,"G16,O08"
BR12,O20,35,"G16,O08"
BR12,Y08,36,"G16,Y07"
BR12,Y09,39,"G16,Y07"
BR12,Y10,34,"BL15,O07,Y11"
BR12,Y12,35,"BL15,O07,Y11"
BR12,Y13,38,"BL15,O07,Y11"
BR12,Y14,42,"BL15,Y17"
BR12,Y15,40,"BL15,Y17"
BR12,Y16,37,"BL15"
BR12,Y17,33,"BL15"
BR12,Y19,38,"BL15,Y17"
BR12,Y20,40,"BL15,Y17"
BR11,BR10,2,""
BR11,BL15,2,""
G16,BR10,2,""
G16,BL15,2,""
BR11,BR09,4,""
BR11,R05,4,""
G16,BR09,4,""
G16,R05,4,""
BR11,BR08,5,""
G16,BR08,5,""
BR11,BR07,8,""
G16,BR07,8,""
BR11,BR06,10,""
G16,BR06,10,""
BR11,BR05,12,""
G16,BR05,12,""
BR11,BR04,14,""
G16,BR04,14,""
BR11,BR03,16,""
G16,BR03,16,""
BR11,BR02,17,""
G16,BR02,17,""
BR11,BR01,19,""
G16,BR01,19,""
BR11,BR14,8,""
G16,BR14,8,""
BR11,BR15,10,""
G16,BR15,10,""
BR11,BR16,12,""
G16,BR16,12,""
BR11,BR17,14,""
G16,BR17,14,""
BR11,BR18,15,""
G16,BR18,15,""
BR11,BR19,17,""
G16,BR19,17,""
BR11,BR20,18,""
G16,BR20,18,""
BR11,BR21,21,""
G16,BR21,21,""
BR11,BR22,23,""
G16,BR22,23,""
BR11,BR23,24,""
G16,BR23,24,""
BR11,BR24,22,"BL15"
BR11,BL23,22,"BL15"
G16,BR24,22,"BL15"
G16,BL23,22,"BL15"
BR11,G03A,33,""
G16,G03A,33,""
BR11,G01,31,""
G16,G01,31,""
BR11,G02,28,""
G16,G02,28,""
BR11,G03,27,""
G16,G03,27,""
BR11,G04,25,""
BR11,Y07,25,""
G16,G04,25,""
G16,Y07,25,""
BR11,G05,23,""
G16,G05,23,""
BR11,G06,21,""
G16,G06,21,""
BR11,G07,18,""
G16,G07,18,""
BR11,G08,17,""
G16,G08,17,""
BR11,G09,15,""
BR11,O05,15,""
G16,G09,15,""
G16,O05,15,""
BR11,R08,12,""
BR11,G10,12,""
G16,R08,12,""
G16,G10,12,""
BR11,G11,11,""
G16,G11,11,""
BR11,O04,20,"O05"
G16,O04,20,"O05"
BR11,O03,22,"O05"
G16,O03,22,"O05"
BR11,O02,24,"O05"
BR11,Y11,24,"O05"
G16,O02,24,"O05"
G16,Y11,24,"O05"
BR11,O01,26,"O05"
G16,O01,26,"O05"
BR11,R09,10,"R11"
G16,R09,10,"R11"
BR11,R10,9,"R11"
BR11,BL12,9,"R11"
G16,R10,9,"R11"
G16,BL12,9,"R11"
BR11,R11,4,""
BR11,G14,4,""
G16,R11,4,""
G16,G14,4,""
BR11,R12,8,"R11"
G16,R12,8,"R11"
BR11,R13,9,"O08"
BR11,O11,9,"O08"
G16,R13,9,"O08"
G16,O11,9,"O08"
BR11,R14,12,"R11"
G16,R14,12,"R11"
BR11,R15,14,"R11"
G16,R15,14,"R11"
BR11,R16,16,"R11"
G16,R16,16,"R11"
BR11,R17,18,"R11"
G16,R17,18,"R11"
BR11,R18,20,"R11"
G16,R18,20,"R11"
BR11,R19,21,"R11"
G16,R19,21,"R11"
BR11,R20,24,"R11"
G16,R20,24,"R11"
BR11,R21,25,"R11"
G16,R21,25,"R11"
BR11,R22,27,"R11"
G16,R22,27,"R11"
BR11,R22A,33,"R11"
G16,R22A,33,"R11"
BR11,R23,30,"R11"
G16,R23,30,"R11"
BR11,R24,32,"R11"
G16,R24,32,"R11"
BR11,R25,34,"R11"
G16,R25,34,"R11"
BR11,R26,37,"R11"
G16,R26,37,"R11"
BR11,R27,40,"R11"
G16,R27,40,"R11"
BR11,R28,43,"R11"
G16,R28,43,"R11"
BR11,BL01,35,"BL11"
