BL09,G18,21,"G12"
BL21,G16,18,"BR10"
O11,O14,6,""
BR14,Y15,47,"BL15,Y17"
G11,Y10,25,"O05,Y11"
R08,R19,20,""
R17,G14,11,""
BL09,G19,24,"G12"
BL21,G17,26,"O07,G15"
BR14,Y16,34,"BL15"
O11,O15,8,""
BL09,O01,33,"O07"
BL21,G18,29,"O07,G15"
G11,Y11,15,"O05"
R17,G15,15,"O11"
BR14,Y17,31,"BL15"
R08,R20,22,""
BL21,G19,32,"O07,G15"
G11,Y12,24,"O05,Y11"
O11,O16,11,""
BL09,O02,28,"Y17"
R17,G16,19,"G14"
BR14,Y18,38,"BL15,O07"
G11,Y13,26,"O05,Y11"
BL21,O01,34,"O07"
R08,R21,23,""
BL09,O03,28,"O07"
R17,G17,21,"G14"
BR14,Y19,50,"BL15,Y17"
G11,Y14,27,"O05,Y11"
O11,O17,13,""
BL09,O04,26,"O07"
BL21,O02,31,"O07"
R08,R22,25,""
BR14,Y20,51,"BL15,Y17"
R17,G18,23,"G14"
G11,Y15,30,"BL11,Y17"
BL21,O03,29,"O07"
O11,O18,15,""
BL09,O05,19,"G12"
BR15,BR16,2,""
R17,G19,26,"G14"
G11,Y16,14,"BL11"
BL21,O04,27,"O07"
R22A,G05,-1,"ERROR"
BR15,BR17,3,""
R17,O01,35,"O11"
O11,O19,18,""
BL09,O06,18,"O07"
G11,Y17,12,"BL11"
BL21,O05,24,"O07"
BR15,BR18,5,""
R17,O02,32,"O11"
BR15,BR19,7,""
BL21,O06,19,"O07"
O11,O20,20,""
BL09,O07,12,""
G11,Y18,24,"BL11,Y17"
R17,O03,30,"O11"
BR15,BR20,8,""
G11,Y19,26,"BL11,Y17"
BL09,O08,15,"G12"
R17,O04,28,"O11"
O11,O21,24,""
BL21,O07,13,""
BR15,BR21,11,""
BL09,O09,19,"O07"
G11,Y20,27,"BL11,Y17"
R17,O05,21,"G10"
O11,O50,4,""
BR15,BR22,13,""
BL21,O08,19,"O07"
BL09,O10,21,"O07"
BR15,BR23,14,""
BL21,O09,20,"O07"
G12,G13,1,""
R17,O06,20,""
O11,O51,6,""
BL09,O11,18,"R10"
BL21,O10,22,"O07"
BR15,BR24,16,""
R17,O07,17,"O11"
O11,O52,8,""
BL09,O12,25,"O07"
G12,G14,4,""
BL21,O11,24,"O07"
BR15,Y07,44,"G16"
R17,O08,15,"O11"
BL09,O13,27,"O07"
O11,O53,10,""
BL21,O12,26,"O07"
BR15,Y08,53,"BL15,O07,Y11"
R17,O09,13,"O11"
BL09,O14,30,"O07"
G12,G15,6,""
BL21,O13,28,"O07"
O11,O54,13,""
BR15,Y09,50,"BL15,O07,Y11"
R17,O10,12,"O11"
BL09,O15,30,"Y17,O17"
BL21,O14,31,"O07"
BR15,Y10,49,"BL15,O07,Y11"
G12,G16,8,""
O11,BR01,34,"BL14,BR10"
BL09,O16,28,"Y17,O17"
R17,O11,8,""
BL21,O15,32,"O07"
BR15,Y11,35,"BL15,O07"
R17,O12,12,"O11"
BL21,O16,35,"O07"
G12,G17,10,""
BL09,O17,18,"Y17"
O11,BR02,32,"BL14,BR10"
R22A,G06,-1,"ERROR"
BR15,Y12,47,"BL15,O07,Y11"
R17,O13,20,"O11"
BL21,O17,37,"O07"
BL09,O18,31,"Y17,O17"
G12,G18,12,""
BR15,Y13,49,"BL15,O07,Y11"
O11,BR03,31,"BL14,BR10"
R17,O14,22,"O11"
BL21,O18,39,"O07"
BL09,O19,34,"Y17,O17"
BR15,Y14,51,"BL15,O07,Y11"
G12,G19,15,""
R17,O15,24,"O11"
O11,BR04,29,"BL14,BR10"
BL21,O19,42,"O07"
BL09,O20,36,"Y17,O17"
BR15,Y15,53,"BL15,Y17"
R17,O16,27,"O11"
G12,O01,19,"O05"
BL21,O20,45,"O07"
O11,BR05,27,"BL14,BR10"
BR15,Y16,34,"BL15"
BL09,O21,39,"Y17,O17"
R08,R22A,-1,"ERROR"
BL21,O21,48,"O07"
BL09,O50,32,"O07"
BR15,Y17,32,"BL15"
R17,O17,29,"O11"
O11,BR06,24,"BL14,BR10"
G12,O02,17,"O05"
BL09,O51,35,"O07"
BL21,O50,33,"O07"
R08,R23,28,""
BR15,Y18,46,"BL15,O07"
R17,O18,31,"O11"
BL09,O52,37,"O07"
BL21,O51,36,"O07"
O11,BR07,22,"BL14,BR10"
G12,O03,15,"O05"
BR15,Y19,48,"BL15,Y17"
R08,R24,30,""
R17,O19,34,"O11"
BL21,O52,38,"O07"
BL09,O53,39,"O07"
