115年01月臺北市各里人口數戶數,,,,,,,,,
行政區,里別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,人口數-合計,人口數-男,人口數-女
總計,總計,456,456,9622,9584,1080971,2437022,1147508,1289514
松山區,松山區,33,33,763,762,81110,187235,86986,100249
松山區,莊敬里,1,1,27,27,2032,4823,2274,2549
松山區,東榮里,1,1,33,32,3091,7839,3634,4205
松山區,三民里,1,1,32,32,2876,6317,2878,3439
松山區,新益里,1,1,18,18,1840,4291,2047,2244
松山區,富錦里,1,1,23,23,2130,4854,2209,2645
松山區,新東里,1,1,19,19,2062,4657,2201,2456
松山區,富泰里,1,1,20,20,2084,4338,1869,2469
松山區,介壽里,1,1,21,21,1760,4403,2094,2309
松山區,精忠里,1,1,16,16,1740,4251,1967,2284
松山區,東光里,1,1,33,33,2968,6351,2953,3398
松山區,龍田里,1,1,39,39,4343,10813,5055,5758
松山區,東昌里,1,1,12,12,1019,2576,1202,1374
松山區,東勢里,1,1,18,18,1840,4148,1940,2208
松山區,中華里,1,1,25,25,2566,6275,2896,3379
松山區,民有里,1,1,32,32,3555,8315,3812,4503
松山區,民福里,1,1,27,27,2564,5722,2673,3049
松山區,慈祐里,1,1,23,23,4415,7753,3708,4045
松山區,安平里,1,1,33,33,3700,7630,3556,4074
松山區,鵬程里,1,1,17,17,2005,4502,2084,2418
松山區,自強里,1,1,28,28,3668,8574,3907,4667
松山區,吉祥里,1,1,27,27,3381,7424,3410,4014
松山區,新聚里,1,1,30,30,3336,7264,3331,3933
松山區,復盛里,1,1,26,26,2473,5683,2647,3036
松山區,中正里,1,1,34,34,3879,9808,4575,5233
松山區,中崙里,1,1,18,18,1761,4267,1989,2278
松山區,美仁里,1,1,11,11,1361,3463,1627,1836
松山區,吉仁里,1,1,16,16,1568,3912,1855,2057
松山區,敦化里,1,1,30,30,2544,6578,3174,3404
松山區,復源里,1,1,14,14,1381,3531,1660,1871
松山區,復建里,1,1,14,14,1906,4589,2164,2425
松山區,復勢里,1,1,21,21,2710,6298,2870,3428
松山區,福成里,1,1,10,10,1014,2523,1149,1374
松山區,松基里,1,1,16,16,1538,3463,1576,1887
信義區,信義區,41,41,916,912,90948,201255,94384,106871
信義區,西村里,1,1,28,28,1815,4164,1899,2265
信義區,正和里,1,1,25,25,1913,4273,1921,2352
信義區,興隆里,1,1,15,14,1162,2480,1127,1353
信義區,中興里,1,1,14,14,1787,3270,1401,1869
信義區,新仁里,1,1,22,20,1371,3056,1422,1634
信義區,興雅里,1,1,28,28,2364,4978,2300,2678
信義區,敦厚里,1,1,22,22,2269,4715,2158,2557
信義區,廣居里,1,1,29,29,3023,7016,3255,3761
信義區,安康里,1,1,33,33,4634,10520,4856,5664
信義區,六藝里,1,1,14,14,1402,3460,1654,1806
信義區,雅祥里,1,1,20,20,2191,4766,2282,2484
信義區,五常里,1,1,15,15,1546,3455,1641,1814
信義區,五全里,1,1,22,22,2042,4483,2093,2390
信義區,永吉里,1,1,17,17,1411,3489,1740,1749
信義區,長春里,1,1,21,21,1673,3758,1794,1964
信義區,四育里,1,1,20,20,2283,5132,2477,2655
信義區,四維里,1,1,20,20,2099,4609,2104,2505
信義區,永春里,1,1,22,22,2022,4447,2149,2298
信義區,富台里,1,1,19,18,2234,4537,2030,2507
信義區,國業里,1,1,28,28,2951,7029,3326,3703
信義區,松隆里,1,1,12,12,826,1892,907,985
信義區,松友里,1,1,21,21,2547,6352,2989,3363
信義區,松光里,1,1,23,23,2064,4389,2102,2287
信義區,中坡里,1,1,16,16,1710,3944,1885,2059
信義區,中行里,1,1,32,32,2962,7040,3401,3639
