年,月,排名,隸屬區,里,鄰數,戶數,男,女,合計
115,3,1,林口區,南勢里,40,17459,16868,18928,35796
115,3,2,淡水區,崁頂里,20,18976,16482,17864,34346
115,3,3,林口區,湖南里,48,15014,15876,17309,33185
115,3,4,三峽區,龍學里,45,7873,8017,9263,17280
115,3,5,樹林區,南園里,52,7320,8022,8781,16803
115,3,6,新莊區,中原里,33,7337,7824,8807,16631
115,3,7,蘆洲區,正義里　,25,6394,7553,8335,15888
115,3,8,五股區,成泰里,34,7518,7513,7672,15185
115,3,9,淡水區,大庄里,12,8539,6918,8259,15177
115,3,10,板橋區,溪福里,46,5445,6907,7373,14280
115,3,11,新莊區,西盛里,29,5903,6943,7241,14184
115,3,12,新店區,公崙里,37,6170,6760,7423,14183
115,3,13,新莊區,立廷里,40,5521,6452,7267,13719
115,3,14,淡水區,竿蓁里,26,7368,5821,7224,13045
115,3,15,林口區,西林里,37,5483,6386,6643,13029
115,3,16,新莊區,雙鳳里,36,5261,6228,6478,12706
115,3,17,淡水區,北投里,22,6088,5923,6732,12655
115,3,18,新店區,香坡里,46,5774,5935,6368,12303
115,3,19,新莊區,頭前里,16,6301,6010,6291,12301
115,3,20,新店區,中山里,26,7157,5402,6367,11769
115,3,21,板橋區,溪頭里,25,6118,5454,6029,11483
115,3,22,新莊區,昌平里,21,5608,5229,5924,11153
115,3,23,樹林區,柑園里,37,4945,5363,5747,11110
115,3,24,泰山區,義仁里,39,5009,5428,5579,11007
115,3,25,永和區,保順里,38,5012,5142,5840,10982
115,3,26,三峽區,龍埔里,36,4618,5351,5611,10962
115,3,27,新莊區,龍鳳里,30,4753,5142,5737,10879
115,3,28,蘆洲區,水湳里　,25,4302,5221,5547,10768
115,3,29,板橋區,忠翠里,28,4870,5010,5727,10737
115,3,30,淡水區,新春里,15,4818,5062,5534,10596
115,3,31,土城區,日和里,31,5025,4995,5492,10487
115,3,32,中和區,中原里,24,5295,5065,5383,10448
115,3,33,三峽區,鳶山里,28,4460,5110,5277,10387
115,3,34,新莊區,中平里,23,4203,4712,5579,10291
115,3,35,鶯歌區,尖山里,16,4384,5083,5187,10270
115,3,36,板橋區,社後里,28,6176,5738,4367,10105
115,3,37,五股區,成功里,34,5152,5029,5046,10075
115,3,38,林口區,麗林里,32,4307,4750,5305,10055
115,3,39,泰山區,全興里,25,4208,4925,5122,10047
115,3,40,板橋區,崑崙里,36,3934,4838,5075,9913
115,3,41,土城區,員林里,34,4536,4737,5093,9830
115,3,42,三重區,過田里,28,5926,5388,4388,9776
115,3,43,新店區,張北里,32,4542,4539,5094,9633
115,3,44,中和區,平河里,67,4390,4560,5057,9617
115,3,45,三重區,碧華里,16,4399,4512,4964,9476
115,3,46,蘆洲區,水河里　,18,3702,4636,4767,9403
115,3,47,新店區,柴埕里,34,4026,4488,4840,9328
115,3,48,新莊區,丹鳳里,28,3909,4448,4824,9272
115,3,49,板橋區,深丘里,32,4115,4406,4794,9200
115,3,50,三重區,溪美里,31,3936,4370,4648,9018
115,3,51,新莊區,中信里,34,3381,4317,4600,8917
115,3,52,鶯歌區,二橋里,26,3442,4462,4326,8788
115,3,53,土城區,永寧里,37,3480,4357,4426,8783
115,3,54,板橋區,中正里,27,4321,4189,4510,8699
115,3,55,淡水區,八勢里,14,5134,3880,4804,8684
115,3,56,鶯歌區,永昌里,22,3177,4250,4362,8612
115,3,57,汐止區,忠孝里,38,4290,4067,4533,8600
115,3,58,板橋區,重慶里,38,3485,4061,4444,8505
115,3,59,三峽區,龍恩里,31,3925,3940,4519,8459
115,3,60,三重區,五常里,34,4195,4058,4350,8408
115,3,61,板橋區,華東里,32,3995,3945,4326,8271
115,3,62,土城區,埤林里,38,3305,3882,4321,8203
115,3,63,三重區,成功里,21,4186,3888,4309,8197
115,3,64,中和區,積穗里,45,3712,3897,4293,8190
115,3,65,五股區,水碓里,36,3326,4010,4175,8185
115,3,66,新店區,安和里,28,3588,3971,4160,8131
115,3,67,鶯歌區,鳳鳴里,29,3919,3996,4102,8098
115,3,68,板橋區,福安里,25,3858,3849,4231,8080
115,3,69,板橋區,新翠里,29,3480,3791,4282,8073
115,3,70,汐止區,中興里,32,4059,3887,4175,8062
115,3,71,八里區,龍源里,30,4110,3817,4233,8050
115,3,72,淡水區,新興里,9,3781,3676,4341,8017
115,3,73,板橋區,華江里,30,3766,3658,4350,8008
115,3,74,中和區,新南里,49,3772,3658,4343,8001
115,3,75,中和區,華新里,48,3485,3764,4190,7954
